trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20251125,SZSE,1198396341342.0,103009047596.0,100422466524.0,5560131410.0,28225075.0,1203956472752.0,734281714.0
20251125,SSE,1240398370695.0,83636920642.0,82257003581.0,11183459220.0,75520948.0,1251581829915.0,2448610089.0
20251125,BSE,7492919283.0,520862190.0,1958072477.0,715419.0,7569.0,7493634702.0,35755.0
20251124,SZSE,1195722629558.0,86255229461.0,88404280012.0,5420098739.0,27579703.0,1201142728297.0,729165804.0
20251124,SSE,1239032782361.0,77343240622.0,77978295936.0,10950405598.0,65739119.0,1249983187959.0,2414526452.0
20251124,BSE,7542329152.0,451127537.0,1925472876.0,505669.0,0.0,7542834821.0,28186.0
20251121,SZSE,1197878430815.0,94795560353.0,111618404449.0,5346003921.0,20964599.0,1203224434736.0,724950191.0
20251121,SSE,1239681215625.0,89285737243.0,101496291615.0,10925457858.0,54663759.0,1250606673483.0,2433182595.0
20251121,BSE,7617879085.0,527399167.0,1999274235.0,626382.0,7759.0,7618505467.0,33122.0
20251120,SZSE,1214712298825.0,90994903769.0,91717635305.0,5668574181.0,36039994.0,1220380873006.0,767680599.0
20251120,SSE,1251906950837.0,81829910761.0,86907259874.0,11648247823.0,100935382.0,1263555198660.0,2536538767.0
20251120,BSE,7766150101.0,476354661.0,1938540904.0,430638.0,0.0,7766580739.0,25363.0
20251119,SZSE,1215446141353.0,89431943266.0,90682781297.0,5668525041.0,16631926.0,1221114666394.0,747829207.0
20251119,SSE,1257008488721.0,79131083719.0,82425207348.0,11946062490.0,63809767.0,1268954551211.0,2550539351.0
20251119,BSE,7869995541.0,609736841.0,2074139037.0,477880.0,0.0,7870473421.0,26926.0
20251118,SZSE,1216710805190.0,102816343192.0,103572967768.0,5729379578.0,24543413.0,1222440184768.0,764933024.0
20251118,SSE,1260313161359.0,94563998759.0,91256633145.0,12078930346.0,52893380.0,1272392091705.0,2578098219.0
20251118,BSE,7877157413.0,772610246.0,2246558097.0,693056.0,8565.0,7877850469.0,33928.0
20251117,SZSE,1217425072562.0,104470018526.0,100695937728.0,5764726016.0,26687266.0,1223189798578.0,761734166.0
20251117,SSE,1257015227419.0,94385625145.0,90522531811.0,12249078833.0,56139338.0,1269264306252.0,2602740550.0
20251117,BSE,7879543393.0,814103097.0,2247582214.0,569477.0,5400.0,7880112870.0,31462.0
20251114,SZSE,1213681637418.0,101992891043.0,109953541680.0,5723901670.0,17502030.0,1219405539088.0,755606282.0
20251114,SSE,1253180360926.0,95525839287.0,100942944560.0,12280549346.0,44874173.0,1265460910272.0,2608688150.0
20251114,BSE,7836897050.0,874610405.0,2315236274.0,487163.0,300.0,7837384213.0,26362.0
20251113,SZSE,1221653445053.0,119142548798.0,112830997663.0,5844064995.0,20983318.0,1227497510048.0,757886169.0
20251113,SSE,1258607971942.0,108826017299.0,111081780283.0,12533776032.0,60464143.0,1271141747974.0,2629246317.0
20251113,BSE,7893495086.0,930699110.0,2367004772.0,804360.0,11501.0,7894299446.0,37563.0
20251112,SZSE,1215367332209.0,105588302089.0,106274755315.0,5707225923.0,18824418.0,1221074558132.0,753912605.0
20251112,SSE,1260874320120.0,100434271194.0,102747512477.0,12405545871.0,75607655.0,1273279865991.0,2631829444.0
20251112,BSE,7843775546.0,636393431.0,2047090613.0,454608.0,0.0,7844230154.0,26062.0
20251111,SZSE,1216068092642.0,116490590635.0,115654527282.0,5766587641.0,32076673.0,1221834680283.0,757158877.0
20251111,SSE,1263197439228.0,110736652445.0,107523078969.0,12367387168.0,46600341.0,1275564826396.0,2617256734.0
20251111,BSE,7898319056.0,825999733.0,2247461461.0,493787.0,1200.0,7898812843.0,27262.0
